query,title,url,possible_phone,possible_whatsapp,city_guess,service_guess,score
Instagram,Orlando Tour Transportes,https://www.instagram.com/orlandotourtransportes/,,,Orlando,Transfer,8
Instagram,Nara e Flavio Transfer,https://www.instagram.com/transfer_em_orlando/,,,Orlando,Transfer,8
Instagram,Orlando VIP Transportation,https://www.instagram.com/orlandoviptransportation/,,,Orlando,Transfer,8
Instagram,Disney Vip Tour,https://www.instagram.com/disneyviptour/,,,Orlando,Transfer,8
Instagram,Magic Way Orlando,https://www.instagram.com/magicwayorlando/,,,Orlando,Transfer,8
WebSearch,Flynet Travel,https://flynet.travel/loja/miami-traslado/,,,Miami,Transfer,7
WebSearch,Orlando Tours & Transportation,https://orlandotourstransportation.com/,(407) 286-0091,(407) 286-0091,Orlando,Transfer,9
WebSearch,EUA Transfer,https://euatransfer.com.br/,,,Orlando,Transfer,7
WebSearch,Seu Guia Brasileiro,https://seuguiabrasileiro.com.br/,+14079460011,+14079460011,Orlando,Transfer,9
WebSearch,Global Receptivo,https://globalreceptivo.com/cidades/miami-us-mia/,,,Miami,Transfer,7
WebSearch,Brasa Tour,https://www.brasatour.com/,,,Miami,Transfer,7
WebSearch,Rock Transfer,https://rocktransfer.us/,,,Orlando,Transfer,7
WebSearch,Prime JM Transfer,https://primejmtransfer.com/,,,Orlando,Transfer,7
WebSearch,Magic Flight Co,https://magicflightco.com/,,,Orlando,Transfer,7
WebSearch,Florida Transf,https://floridatransf.com/,,,Orlando,Transfer,7
WebSearch,Florida Receptivo,https://floridareceptivo.com.br/,,,Orlando,Transfer,7
Instagram,Rota Privada Florida,https://www.instagram.com/rotaprivada_florida/,,,Orlando,Transfer,8
Instagram,Transfers Orlando,https://www.instagram.com/transfersorlando/,,,Orlando,Transfer,8
Instagram,Drive Orlando,https://www.instagram.com/driveorlando_/,,,Orlando,Transfer,8
Instagram,Cavalcante Transportes,https://www.instagram.com/cavalcantetransportes/,,,Orlando,Transfer,8
WebSearch,Abraham Frydman,(954) 781-5770,(954) 781-5770,Miami,Motorista,9
